tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-7308,Adelaide,Hard,32,250,O,20000103,1,E113,1.0,,Thomas Enqvist,R,191.0,SWE,25.81,4.0,2606.0,C487,,,Arnaud Clement,R,173.0,FRA,22.045,56.0,805.0,6-3 6-4,3,R32,76.0,6.0,0.0,66.0,29.0,23.0,23.0,10.0,2.0,2.0,1.0,3.0,59.0,37.0,25.0,13.0,9.0,2.0,4.0
2000-7308,Adelaide,Hard,32,250,O,20000103,2,F324,,,Roger Federer,R,185.0,SUI,18.404,64.0,749.0,K260,,,Jens Knippschild,R,191.0,GER,24.882,91.0,525.0,6-1 6-4,3,R32,45.0,6.0,3.0,46.0,28.0,24.0,12.0,9.0,0.0,0.0,3.0,5.0,42.0,15.0,13.0,12.0,8.0,0.0,3.0
2000-7308,Adelaide,Hard,32,250,O,20000103,3,G352,,,Jan-Michael Gambill,R,191.0,USA,22.585,58.0,803.0,A202,,,Wayne Arthurs,L,185.0,AUS,28.797,105.0,449.0,3-6 7-6(5) 6-4,3,R32,115.0,8.0,3.0,81.0,40.0,35.0,28.0,15.0,0.0,1.0,26.0,2.0,103.0,59.0,49.0,22.0,16.0,4.0,5.0
2000-7308,Adelaide,Hard,32,250,O,20000103,4,G379,7.0,,Sebastien Grosjean,R,175.0,FRA,21.599,27.0,1298.0,I052,,,Andrew Ilie,R,180.0,AUS,23.71,54.0,845.0,6-2 6-1,3,R32,65.0,4.0,2.0,66.0,35.0,28.0,14.0,7.0,4.0,4.0,0.0,3.0,49.0,22.0,12.0,8.0,8.0,1.0,6.0
2000-7308,Adelaide,Hard,32,250,O,20000103,5,N250,3.0,,Magnus Norman,R,188.0,SWE,23.595,15.0,1748.0,D270,,WC,Scott Draper,L,175.0,AUS,25.58,154.0,297.0,6-4 6-4,3,R32,68.0,6.0,2.0,52.0,32.0,26.0,12.0,10.0,0.0,1.0,4.0,2.0,73.0,40.0,25.0,16.0,10.0,7.0,10.0
2000-7308,Adelaide,Hard,32,250,O,20000103,6,F164,,,Richard Fromberg,R,196.0,AUS,29.684,78.0,572.0,W136,,WC,Todd Woodbridge,R,178.0,AUS,28.756,197.0,216.0,7-6(5) 5-7 6-4,3,R32,144.0,6.0,4.0,111.0,70.0,43.0,26.0,17.0,7.0,12.0,1.0,7.0,116.0,67.0,43.0,24.0,17.0,8.0,13.0
2000-7308,Adelaide,Hard,32,250,O,20000103,7,S626,,,James Sekulov,R,180.0,AUS,23.222,144.0,325.0,P045,,,Gianluca Pozzi,L,180.0,ITA,34.546,94.0,502.0,6-4 2-6 6-2,3,R32,89.0,2.0,3.0,74.0,50.0,32.0,14.0,13.0,3.0,6.0,8.0,5.0,64.0,26.0,22.0,17.0,13.0,2.0,6.0
2000-7308,Adelaide,Hard,32,250,O,20000103,8,M590,,,Alberto Martin,R,175.0,ESP,21.372,57.0,805.0,S544,5.0,,Vincent Spadea,R,183.0,USA,25.459,20.0,1542.0,6-2 6-2,3,R32,53.0,0.0,2.0,42.0,24.0,20.0,10.0,8.0,0.0,1.0,0.0,1.0,44.0,24.0,14.0,5.0,8.0,2.0,7.0
2000-7308,Adelaide,Hard,32,250,O,20000103,9,H432,6.0,,Lleyton Hewitt,R,178.0,AUS,18.856,25.0,1429.0,W035,,,Mark Woodforde,L,188.0,AUS,34.278,130.0,362.0,6-3 2-6 6-1,3,R32,108.0,0.0,4.0,71.0,39.0,27.0,18.0,12.0,5.0,8.0,2.0,2.0,82.0,48.0,31.0,13.0,12.0,11.0,16.0
2000-7308,Adelaide,Hard,32,250,O,20000103,10,P387,,WC,Dejan Petrovic,R,,SRB,21.752,205.0,198.0,H284,,,Stephane Huet,L,180.0,FRA,28.693,127.0,369.0,3-6 6-3 6-3,3,R32,98.0,4.0,1.0,88.0,38.0,27.0,25.0,14.0,5.0,9.0,2.0,6.0,73.0,26.0,17.0,25.0,13.0,5.0,10.0
