best_of,rank_diff,age_diff,height_diff,elo_diff,surface_elo_diff,recent_form_diff,h2h_diff,target,surface_Clay,surface_Grass,surface_Hard,tourney_level_500,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,tourney_level_O,indoor_O,indoor_Unknown,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,round_Unknown
3,-52.0,3.764999999999997,18.0,0.0,0.0,0.0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,225.0,-1.5470000000000006,-10.0,0.0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,-23.0,2.4450000000000003,-5.0,0.0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,166.0,-2.2040000000000006,-8.0,0.0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,-1103.0,18.388,-5.0,0.0,0.0,0.0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,-17.0,6.371000000000002,18.0,0.0,0.0,0.0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,4.0,1.375,13.0,0.0,0.0,0.0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,121.0,-5.476000000000003,-16.0,0.0,0.0,0.0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,15.0,-4.618000000000002,-13.0,0.0,0.0,0.0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
3,-28.0,-4.568999999999999,5.0,0.0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
3,26.0,-1.1969999999999992,16.0,-16.0,-16.0,-0.5,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
3,-46.0,0.4790000000000027,8.0,-16.0,-16.0,-0.5,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
3,47.0,-2.308,5.0,-16.0,-16.0,-0.5,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
3,-38.0,-0.8210000000000015,-10.0,-16.0,-16.0,-0.5,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
3,4.0,-2.3470000000000013,21.0,-15.26369320647791,-15.26369320647791,-0.5,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
3,-5.0,5.067,11.0,-31.26369320647791,-31.26369320647791,-0.5,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
3,39.0,-7.241,-18.0,-0.7363067935220897,-0.7363067935220897,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
3,138.0,1.6700000000000017,-5.0,16.73630679352209,16.73630679352209,0.5,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
3,-20.0,1.7579999999999991,-10.0,15.26369320647791,15.26369320647791,0.5,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
3,35.0,-3.3339999999999996,7.0,-31.26369320647791,-31.26369320647791,-0.5,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
3,-96.0,7.455000000000002,-3.0,0.0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,-41.0,5.013000000000002,-8.0,0.0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,-6.0,1.8979999999999997,-5.0,0.0,0.0,0.0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,79.0,0.9849999999999994,0.0,0.0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,-93.0,4.193999999999999,0.0,0.0,0.0,0.0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
3,115.0,-8.43,0.0,0.0,0.0,0.0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
3,69.0,1.1060000000000016,0.0,-16.0,-16.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
3,107.0,-3.1950000000000003,0.0,16.0,16.0,0.5,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
3,36.0,2.7429999999999986,-3.0,-16.0,-16.0,-0.1666666666666666,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
3,126.0,-3.529,-10.0,-31.26369320647791,-31.26369320647791,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
