,Missing Count,Missing Percentage
winner_entry,69087,87.69834217674986
loser_entry,63152,80.1645129350834
loser_seed,60664,77.00627078626012
winner_seed,46115,58.537916677244915
minutes,7178,9.111680926146894
indoor,6732,8.54553301683211
l_SvGms,6376,8.093630201325244
w_SvGms,6376,8.093630201325244
l_bpFaced,6366,8.080936302013253
l_bpSaved,6366,8.080936302013253
l_df,6365,8.079666912082054
w_bpFaced,6365,8.079666912082054
w_2ndWon,6365,8.079666912082054
l_ace,6365,8.079666912082054
l_svpt,6365,8.079666912082054
l_1stIn,6365,8.079666912082054
l_1stWon,6365,8.079666912082054
l_2ndWon,6365,8.079666912082054
w_bpSaved,6365,8.079666912082054
w_1stIn,6364,8.078397522150855
w_1stWon,6364,8.078397522150855
w_svpt,6364,8.078397522150855
w_ace,6364,8.078397522150855
w_df,6364,8.078397522150855
loser_ht,2983,3.786590164766813
loser_rank,1544,1.9599380537713575
loser_rank_points,1544,1.9599380537713575
loser_hand,1527,1.9383584249409735
winner_ht,1507,1.9129706263169919
winner_hand,649,0.8238340653481937
winner_rank_points,611,0.7755972479626292
winner_rank,611,0.7755972479626292
match_num,489,0.6207316763563431
loser_age,229,0.29069029424458603
winner_age,70,0.08885729518393459
draw_size,43,0.05458376704155982
loser_ioc,11,0.013963289243189722
score,2,0.0025387798623981313
winner_ioc,2,0.0025387798623981313
round,1,0.0012693899311990657
loser_id,1,0.0012693899311990657
best_of,0,0.0
tourney_name,0,0.0
loser_name,0,0.0
winner_name,0,0.0
winner_id,0,0.0
tourney_date,0,0.0
tourney_level,0,0.0
surface,0,0.0
tourney_id,0,0.0
